t,u,w,q,theta,theta_deg,V,Q,alpha_raw_deg,alpha_deg,Cx,Cz,Cm,X_cfd,Z_cfd,M_cfd,M_damp,M_bg,M_cable,T,M_thruster
0.58,-0.16958465215605692,0.1519721364225455,1.1545037345527704,0.43956621826691206,25.18528912322041,0.2277157976419809,25.864005704019267,138.13510872537643,41.864891274623574,0.6767604533062581,-3.751496128783685,-0.47689544205416345,0.09932495120630955,-0.5505894561682909,-0.043744814248094156,-0.48117768601105987,0.5749841930797399,0.0,0.0,0.0
0.59,-0.17622920204225423,0.15303238099000624,1.157118667919846,0.4511246080394161,25.84753607515207,0.23340017413001235,27.171387597414302,139.02988882424535,40.97011117575465,0.7022032118162167,-3.6475003477678434,-0.46636747012549806,0.10826852734149314,-0.5623863355865221,-0.044941512603477556,-0.4833509114533967,0.5718206200160258,0.0,0.0,0.0
0.6,-0.1829510244991116,0.15401764223462122,1.159375843012481,0.46270733752080445,26.511177589677374,0.2391495588220608,28.52650947463746,139.90759168796336,40.09240831203664,0.7241025198334404,-3.5388853997043563,-0.45551128206532154,0.11721313814452147,-0.572852395719588,-0.046084554127943045,-0.48523074772550107,0.5685737516077166,0.0,0.0,0.0
0.61,-0.1897464150190349,0.15493104614446332,1.1612898656193598,0.47431092876772873,27.17601439532108,0.24496393830928187,29.93048659575453,140.7678006501638,39.23219934983621,0.7429860227139181,-3.421730986324345,-0.444294158203887,0.12618915190749116,-0.5811486596243931,-0.04716197656082011,-0.4868276558956083,0.5652445505099832,0.0,0.0,0.0
0.62,-0.19661164901212974,0.15577510796053778,1.1628748315155508,0.48593202870098984,27.841854374796704,0.25084262952573694,31.38427898446484,141.61026864599927,38.38973135400073,0.7607124557710414,-3.2961284335977203,-0.4329368364102993,0.13547535054715035,-0.5870078130079694,-0.04818860039731679,-0.4881520109607199,0.5618340483077375,0.0,0.0,0.0
0.63,-0.2035429818062015,0.15655173217678198,1.1641443264625058,0.49756740910553743,28.5085125650065,0.25678432641053184,32.88868352199649,142.43490836870103,37.56509163129897,0.7769800826314912,-3.167626299492377,-0.4214811670938761,0.1450053334041679,-0.5911640696143198,-0.04916231004840643,-0.4892140643999396,0.5583433406082943,0.0,0.0,0.0
0.64,-0.21053664864675528,0.15726221254006567,1.1651114262080606,0.5092139666304704,29.17581115704149,0.2627871456452999,34.44432684436598,143.2417821486002,36.75821785139976,0.7915134504677827,-3.0411582721077908,-0.40996236092424204,0.15470473326712247,-0.5944075606440867,-0.0500805747985566,-0.4900239099036407,0.5547735820559,0.0,0.0,0.0
0.65,-0.2175888646969959,0.15790723205019083,1.1657886964864355,0.5208687227890363,29.84357949618142,0.2688486711402539,36.05165900501605,144.03109171339793,35.96890828660207,0.8040819834589525,-2.9210364835231775,-0.3984111431004788,0.1644951835527796,-0.5975714447108237,-0.050940634367797936,-0.4905914521048013,0.5511259812828583,0.0,0.0,0.0
0.66,-0.22469630799719906,0.15848624371347556,1.1661873510216412,0.532528805909006,30.511653047727417,0.2749660347642583,37.71095822941553,144.80333143117272,35.19666856882725,0.8144973725167061,-2.81097467828881,-0.3868513266282717,0.17429497079177322,-0.6015228114670353,-0.05173914839274878,-0.49092567212022037,0.5474018016342566,0.0,0.0,0.0
0.67,-0.23185571198077226,0.15899675315723,1.1663207494526533,0.5441915094921478,31.179876740753546,0.28113526760734225,39.42213367764028,145.55933337316236,34.44066662683764,0.8233101453508765,-2.71217866734799,-0.3750865630820394,0.18417521848011573,-0.6067168022119325,-0.05244200051363181,-0.49103753477927453,0.5436023374111816,0.0,0.0,0.0
